latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.35385,-114.91322,305.73,0.79,0.78,2025-07-01,0824,N,VIIRS,n,2.0NRT,293.61,2.71,N
32.4221,-115.01102,308.73,0.76,0.77,2025-07-01,0824,N,VIIRS,n,2.0NRT,292.66,2.59,N
32.42289,-115.00649,316.79,0.76,0.77,2025-07-01,0824,N,VIIRS,n,2.0NRT,292.46,1.43,N
32.57026,-115.01947,313.85,0.76,0.77,2025-07-01,0824,N,VIIRS,n,2.0NRT,294.26,4.21,N
32.58065,-115.12709,306.37,0.77,0.78,2025-07-01,0824,N,VIIRS,n,2.0NRT,294.04,3.58,N
32.58049,-115.12224,308.37,0.77,0.78,2025-07-01,0824,N,VIIRS,n,2.0NRT,293.84,3.31,N
32.57097,-115.02412,316.3,0.76,0.77,2025-07-01,0824,N,VIIRS,n,2.0NRT,294.16,3.4,N
32.39962,-114.76942,308.74,0.74,0.76,2025-07-01,0824,N,VIIRS,n,2.0NRT,294.31,2,N
40.8224,-114.25526,318.45,0.42,0.45,2025-07-01,1002,N,VIIRS,n,2.0NRT,292.58,2.24,N
37.34946,-113.45328,305.27,0.55,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.19,1.26,N
37.34665,-113.44147,299.89,0.55,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.58,0.86,N
37.34879,-113.49195,299.07,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.36,1.49,N
37.34757,-113.48685,315.09,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.23,1.49,N
37.34319,-113.4892,301.45,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.43,1.49,N
37.33995,-113.49632,307.12,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.16,1.21,N
37.33676,-113.50361,303.36,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.76,1.95,N
37.64342,-115.41582,329.77,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,292.13,4.44,N
37.64255,-115.41188,318.33,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.61,2.17,N
37.6393,-115.4171,345.54,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,298.91,4.44,N
37.64017,-115.42102,318.41,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,293.07,4.44,N
37.63843,-115.41318,316.91,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,290.41,2.17,N
37.63692,-115.42624,308.14,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,291.77,2.16,N
37.63602,-115.42218,319.26,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,293.41,1.23,N
37.63512,-115.41812,299.66,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.31,1.23,N
37.63185,-115.42322,298.12,0.43,0.46,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.24,1.23,N
38.27673,-121.09821,303.66,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.84,0.67,N
38.58076,-123.14208,309.22,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.05,2.5,N
38.57745,-123.14285,338.99,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.37,2.5,N
37.88282,-121.18623,310.48,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.59,0.92,N
38.03016,-122.09754,298.42,0.38,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.53,0.21,N
38.0041,-121.93662,299.93,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.65,0.37,N
37.75498,-121.66176,301.79,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.68,0.29,N
36.35889,-114.91238,313.82,0.48,0.48,2025-07-01,1004,N,VIIRS,n,2.0NRT,297.52,2.81,N
37.45582,-121.93371,308.81,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.95,0.37,N
37.18506,-121.6785,300.88,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.83,0.48,N
37.21198,-121.90234,299.41,0.39,0.36,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.47,0.62,N
34.62252,-117.10004,316.94,0.4,0.45,2025-07-01,1004,N,VIIRS,n,2.0NRT,294.52,1.7,N
34.60924,-117.33828,312.13,0.39,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,292.35,1.2,N
34.60838,-117.33419,302.23,0.39,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,290.31,1.2,N
34.35388,-116.85143,309.24,0.42,0.45,2025-07-01,1004,N,VIIRS,n,2.0NRT,292.05,0.63,N
34.43146,-118.64272,298.77,0.51,0.41,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.8,0.56,N
34.42769,-118.64366,300.55,0.51,0.41,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.34,0.57,N
34.42855,-118.64462,312.09,0.52,0.41,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.5,1.69,N
34.14132,-117.42928,303.75,0.4,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.36,0.61,N
34.33631,-118.5201,302.41,0.52,0.42,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.04,0.89,N
34.3189,-118.51291,300.49,0.52,0.42,2025-07-01,1004,N,VIIRS,n,2.0NRT,286.85,0.26,N
34.07998,-117.4987,300.16,0.4,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.4,0.63,N
34.24247,-118.37876,299.4,0.53,0.42,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.82,0.56,N
34.15208,-118.19205,312.57,0.55,0.42,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.9,1.93,N
34.03998,-117.81979,299.39,0.57,0.43,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.55,0.17,N
34.03678,-118.10704,299.84,0.55,0.43,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.77,0.62,N
33.79543,-117.47366,301.19,0.4,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,290.17,0.58,N
33.79139,-117.47471,300.99,0.4,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,288.01,0.58,N
33.71397,-117.7112,307.69,0.39,0.44,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.1,1.23,N
37.34124,-113.50172,300.03,0.54,0.51,2025-07-01,1004,N,VIIRS,n,2.0NRT,287.49,1.95,N
41.8188,-123.19189,329.07,0.4,0.37,2025-07-01,1004,N,VIIRS,n,2.0NRT,289.77,2.49,N
